LineId,Time,EventId,Level,EventTemplate,Content,Component,Date,Node,LogSource
27,Sun Dec 04 04:52:15 2005,E3,error,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 7,,,,Apache
28,Sun Dec 04 04:52:36 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 6748 in scoreboard slot 6,,,,Apache
29,Sun Dec 04 04:52:36 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 6744 in scoreboard slot 10,,,,Apache
30,Sun Dec 04 04:52:36 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 6745 in scoreboard slot 8,,,,Apache
31,Sun Dec 04 04:52:49 2005,E2,notice,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties,,,,Apache
32,Sun Dec 04 04:52:49 2005,E2,notice,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties,,,,Apache
33,Sun Dec 04 04:52:52 2005,E3,error,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 7,,,,Apache
34,Sun Dec 04 04:52:52 2005,E3,error,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 6,,,,Apache
35,Sun Dec 04 04:53:05 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 6750 in scoreboard slot 7,,,,Apache
36,Sun Dec 04 04:53:05 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 6751 in scoreboard slot 9,,,,Apache
37,Sun Dec 04 04:53:05 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 6752 in scoreboard slot 10,,,,Apache
38,Sun Dec 04 04:53:15 2005,E2,notice,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties,,,,Apache
39,Sun Dec 04 04:53:15 2005,E2,notice,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties,,,,Apache
40,Sun Dec 04 04:53:16 2005,E3,error,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 7,,,,Apache
41,Sun Dec 04 04:53:16 2005,E3,error,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 6,,,,Apache
42,Sun Dec 04 04:53:29 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 6754 in scoreboard slot 8,,,,Apache
43,Sun Dec 04 04:53:29 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 6755 in scoreboard slot 6,,,,Apache
44,Sun Dec 04 04:53:40 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 6756 in scoreboard slot 7,,,,Apache
45,Sun Dec 04 04:53:51 2005,E2,notice,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties,,,,Apache
46,Sun Dec 04 04:53:54 2005,E3,error,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 7,,,,Apache
47,Sun Dec 04 04:54:15 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 6763 in scoreboard slot 10,,,,Apache
48,Sun Dec 04 04:54:15 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 6766 in scoreboard slot 6,,,,Apache
49,Sun Dec 04 04:54:15 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 6767 in scoreboard slot 7,,,,Apache
50,Sun Dec 04 04:54:15 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 6765 in scoreboard slot 8,,,,Apache
51,Sun Dec 04 04:54:18 2005,E2,notice,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties,,,,Apache
52,Sun Dec 04 04:54:18 2005,E2,notice,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties,,,,Apache
53,Sun Dec 04 04:54:18 2005,E2,notice,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties,,,,Apache
54,Sun Dec 04 04:54:18 2005,E2,notice,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties,,,,Apache
55,Sun Dec 04 04:54:18 2005,E3,error,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 6,,,,Apache
56,Sun Dec 04 04:54:18 2005,E3,error,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 6,,,,Apache
57,Sun Dec 04 04:54:18 2005,E3,error,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 7,,,,Apache
58,Sun Dec 04 04:54:18 2005,E3,error,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 7,,,,Apache
59,Sun Dec 04 04:54:20 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 6768 in scoreboard slot 9,,,,Apache
60,Sun Dec 04 04:54:20 2005,E2,notice,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties,,,,Apache
61,Sun Dec 04 04:54:20 2005,E3,error,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 6,,,,Apache
62,Sun Dec 04 04:56:52 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 8527 in scoreboard slot 10,,,,Apache
63,Sun Dec 04 04:56:52 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 8533 in scoreboard slot 8,,,,Apache
64,Sun Dec 04 04:56:57 2005,E2,notice,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties,,,,Apache
65,Sun Dec 04 04:56:57 2005,E2,notice,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties,,,,Apache
66,Sun Dec 04 04:56:59 2005,E3,error,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 6,,,,Apache
67,Sun Dec 04 04:57:00 2005,E3,error,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 6,,,,Apache
68,Sun Dec 04 04:57:20 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 8536 in scoreboard slot 6,,,,Apache
69,Sun Dec 04 04:57:20 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 8539 in scoreboard slot 7,,,,Apache
70,Sun Dec 04 04:57:24 2005,E2,notice,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties,,,,Apache
71,Sun Dec 04 04:57:24 2005,E2,notice,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties,,,,Apache
72,Sun Dec 04 04:57:24 2005,E3,error,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 6,,,,Apache
73,Sun Dec 04 04:57:24 2005,E3,error,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 6,,,,Apache
74,Sun Dec 04 04:57:49 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 8541 in scoreboard slot 9,,,,Apache
75,Sun Dec 04 04:58:11 2005,E2,notice,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties,,,,Apache
76,Sun Dec 04 04:58:18 2005,E3,error,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 6,,,,Apache
77,Sun Dec 04 04:58:45 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 8547 in scoreboard slot 10,,,,Apache
78,Sun Dec 04 04:58:57 2005,E2,notice,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties,,,,Apache
79,Sun Dec 04 04:58:58 2005,E3,error,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 6,,,,Apache
80,Sun Dec 04 04:59:28 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 8554 in scoreboard slot 6,,,,Apache
81,Sun Dec 04 04:59:27 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 8553 in scoreboard slot 8,,,,Apache
82,Sun Dec 04 04:59:35 2005,E2,notice,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties,,,,Apache
83,Sun Dec 04 04:59:35 2005,E2,notice,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties,,,,Apache
84,Sun Dec 04 04:59:38 2005,E3,error,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 6,,,,Apache
85,Sun Dec 04 04:59:38 2005,E3,error,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 6,,,,Apache
86,Sun Dec 04 05:00:03 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 8560 in scoreboard slot 7,,,,Apache
87,Sun Dec 04 05:00:09 2005,E2,notice,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties,,,,Apache
88,Sun Dec 04 05:00:09 2005,E3,error,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 6,,,,Apache
89,Sun Dec 04 05:00:13 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 8565 in scoreboard slot 9,,,,Apache
90,Sun Dec 04 05:00:13 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 8573 in scoreboard slot 10,,,,Apache
91,Sun Dec 04 05:00:15 2005,E2,notice,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties,,,,Apache
92,Sun Dec 04 05:00:15 2005,E3,error,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 6,,,,Apache
93,Sun Dec 04 05:00:15 2005,E2,notice,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties,,,,Apache
94,Sun Dec 04 05:00:15 2005,E3,error,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 6,,,,Apache
95,Sun Dec 04 05:01:20 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 8584 in scoreboard slot 7,,,,Apache
96,Sun Dec 04 05:01:20 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 8587 in scoreboard slot 9,,,,Apache
97,Sun Dec 04 05:02:14 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 8603 in scoreboard slot 10,,,,Apache
98,Sun Dec 04 05:02:14 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 8605 in scoreboard slot 8,,,,Apache
99,Sun Dec 04 05:04:03 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 8764 in scoreboard slot 10,,,,Apache
100,Sun Dec 04 05:04:03 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 8765 in scoreboard slot 11,,,,Apache
101,Sun Dec 04 05:04:03 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 8763 in scoreboard slot 9,,,,Apache
102,Sun Dec 04 05:04:03 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 8744 in scoreboard slot 8,,,,Apache
103,Sun Dec 04 05:04:03 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 8743 in scoreboard slot 7,,,,Apache
104,Sun Dec 04 05:04:03 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 8738 in scoreboard slot 6,,,,Apache
105,Sun Dec 04 05:04:03 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 8766 in scoreboard slot 12,,,,Apache
106,Sun Dec 04 05:04:04 2005,E2,notice,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties,,,,Apache
107,Sun Dec 04 05:04:04 2005,E3,error,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 7,,,,Apache
108,Sun Dec 04 05:04:04 2005,E2,notice,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties,,,,Apache
109,Sun Dec 04 05:04:04 2005,E3,error,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 6,,,,Apache
110,Sun Dec 04 05:04:04 2005,E2,notice,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties,,,,Apache
111,Sun Dec 04 05:04:04 2005,E3,error,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 7,,,,Apache
112,Sun Dec 04 05:04:04 2005,E2,notice,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties,,,,Apache
113,Sun Dec 04 05:04:04 2005,E3,error,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 7,,,,Apache
114,Sun Dec 04 05:04:04 2005,E2,notice,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties,,,,Apache
115,Sun Dec 04 05:04:04 2005,E3,error,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 7,,,,Apache
116,Sun Dec 04 05:04:04 2005,E2,notice,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties,,,,Apache
117,Sun Dec 04 05:04:04 2005,E3,error,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 6,,,,Apache
118,Sun Dec 04 05:04:04 2005,E2,notice,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties,,,,Apache
119,Sun Dec 04 05:04:04 2005,E3,error,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 6,,,,Apache
120,Sun Dec 04 05:11:51 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 25792 in scoreboard slot 6,,,,Apache
121,Sun Dec 04 05:12:07 2005,E2,notice,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties,,,,Apache
122,Sun Dec 04 05:12:10 2005,E3,error,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 6,,,,Apache
123,Sun Dec 04 05:12:26 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 25798 in scoreboard slot 7,,,,Apache
124,Sun Dec 04 05:12:26 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 25803 in scoreboard slot 8,,,,Apache
125,Sun Dec 04 05:12:28 2005,E2,notice,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties,,,,Apache
126,Sun Dec 04 05:12:28 2005,E3,error,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 6,,,,Apache
127,Sun Dec 04 05:12:28 2005,E2,notice,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties,,,,Apache
128,Sun Dec 04 05:12:28 2005,E3,error,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 6,,,,Apache
129,Sun Dec 04 05:12:30 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 25805 in scoreboard slot 9,,,,Apache
130,Sun Dec 04 05:12:30 2005,E2,notice,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties,,,,Apache
131,Sun Dec 04 05:12:30 2005,E3,error,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 6,,,,Apache
132,Sun Dec 04 05:15:09 2005,E4,error,[client <*>] Directory index forbidden by rule: <*>,[client 222.166.160.184] Directory index forbidden by rule: /var/www/html/,,,,Apache
133,Sun Dec 04 05:15:13 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 1000 in scoreboard slot 10,,,,Apache
134,Sun Dec 04 05:15:16 2005,E2,notice,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties,,,,Apache
135,Sun Dec 04 05:15:16 2005,E3,error,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 6,,,,Apache
136,Sun Dec 04 06:01:00 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 32347 in scoreboard slot 6,,,,Apache
137,Sun Dec 04 06:01:00 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 32348 in scoreboard slot 7,,,,Apache
138,Sun Dec 04 06:01:21 2005,E2,notice,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties,,,,Apache
139,Sun Dec 04 06:01:21 2005,E2,notice,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties,,,,Apache
140,Sun Dec 04 06:01:30 2005,E3,error,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 6,,,,Apache
141,Sun Dec 04 06:01:42 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 32352 in scoreboard slot 9,,,,Apache
142,Sun Dec 04 06:01:42 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 32353 in scoreboard slot 10,,,,Apache
143,Sun Dec 04 06:01:42 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 32354 in scoreboard slot 6,,,,Apache
144,Sun Dec 04 06:02:01 2005,E2,notice,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties,,,,Apache
145,Sun Dec 04 06:02:02 2005,E3,error,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 7,,,,Apache
146,Sun Dec 04 06:02:05 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 32359 in scoreboard slot 9,,,,Apache
147,Sun Dec 04 06:02:05 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 32360 in scoreboard slot 11,,,,Apache
148,Sun Dec 04 06:02:05 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 32358 in scoreboard slot 8,,,,Apache
149,Sun Dec 04 06:02:05 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 32355 in scoreboard slot 7,,,,Apache
150,Sun Dec 04 06:02:07 2005,E2,notice,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties,,,,Apache
151,Sun Dec 04 06:02:07 2005,E3,error,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 7,,,,Apache
152,Sun Dec 04 06:02:07 2005,E2,notice,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties,,,,Apache
153,Sun Dec 04 06:02:07 2005,E3,error,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 6,,,,Apache
154,Sun Dec 04 06:02:07 2005,E2,notice,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties,,,,Apache
155,Sun Dec 04 06:02:07 2005,E3,error,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 6,,,,Apache
156,Sun Dec 04 06:02:07 2005,E2,notice,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties,,,,Apache
157,Sun Dec 04 06:02:07 2005,E3,error,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 6,,,,Apache
158,Sun Dec 04 06:06:00 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 32388 in scoreboard slot 8,,,,Apache
159,Sun Dec 04 06:06:00 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 32387 in scoreboard slot 7,,,,Apache
160,Sun Dec 04 06:06:00 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 32386 in scoreboard slot 6,,,,Apache
161,Sun Dec 04 06:06:10 2005,E2,notice,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties,,,,Apache
162,Sun Dec 04 06:06:11 2005,E2,notice,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties,,,,Apache
163,Sun Dec 04 06:06:12 2005,E3,error,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 6,,,,Apache
164,Sun Dec 04 06:06:12 2005,E3,error,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 6,,,,Apache
165,Sun Dec 04 06:06:20 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 32389 in scoreboard slot 9,,,,Apache
166,Sun Dec 04 06:06:24 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 32391 in scoreboard slot 10,,,,Apache
167,Sun Dec 04 06:06:24 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 32390 in scoreboard slot 8,,,,Apache
168,Sun Dec 04 06:06:24 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 32392 in scoreboard slot 6,,,,Apache
169,Sun Dec 04 06:06:26 2005,E2,notice,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties,,,,Apache
170,Sun Dec 04 06:06:26 2005,E3,error,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 7,,,,Apache
171,Sun Dec 04 06:06:26 2005,E2,notice,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties,,,,Apache
172,Sun Dec 04 06:06:26 2005,E3,error,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 6,,,,Apache
173,Sun Dec 04 06:06:26 2005,E2,notice,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties,,,,Apache
174,Sun Dec 04 06:06:26 2005,E3,error,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 6,,,,Apache
175,Sun Dec 04 06:06:26 2005,E2,notice,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties,,,,Apache
176,Sun Dec 04 06:06:26 2005,E3,error,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 7,,,,Apache
177,Sun Dec 04 06:11:11 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 32410 in scoreboard slot 7,,,,Apache
178,Sun Dec 04 06:11:11 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 32411 in scoreboard slot 9,,,,Apache
179,Sun Dec 04 06:12:31 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 32423 in scoreboard slot 9,,,,Apache
180,Sun Dec 04 06:12:31 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 32422 in scoreboard slot 8,,,,Apache
181,Sun Dec 04 06:12:31 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 32419 in scoreboard slot 6,,,,Apache
182,Sun Dec 04 06:12:31 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 32421 in scoreboard slot 11,,,,Apache
183,Sun Dec 04 06:12:31 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 32420 in scoreboard slot 7,,,,Apache
184,Sun Dec 04 06:12:31 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 32424 in scoreboard slot 10,,,,Apache
185,Sun Dec 04 06:12:37 2005,E2,notice,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties,,,,Apache
